query_id,gallery_id,confidence
02e84cdaddd04d1d9dde8af631a3af85,1f8315d481ce4bef93952e0a04520ecb,0.72131
33687898b8c74c418206e3adefba4bfe,bd0da21af8fe4d4d86b5655bbb210e8e,0.66749
17c17b288aaa4e899a34fa91e782d292,1c68e32722e143dd903c337080c048e0,0.79946
e7cdd67312474f36bd0c7d31ab3e8a34,f98de6783e0c4013ace9f1c1c080de7c,0.93189
6a29d25058cb438c80bc96c9d24a8629,73be4c1605dc4fb78ed9b9507ea90bdb,0.95935
12600dde111c4f8488dff25ffbca1b63,73be4c1605dc4fb78ed9b9507ea90bdb,0.98160
1a1602caa4414156a1d0a41c3b4e4c3a,b2b1badbcf724eedb108095774c02365,0.93660
f58f5243986b48c3bb7518935fdc76c2,059162c742504c679214bcd7f186afcb,0.96333
2d31edb0089b48b28061ec0f05325db6,f776ff5b53514c0f8a697f00a37d71e0,0.87579
96193706d2674e38a500fcac5a328fef,f776ff5b53514c0f8a697f00a37d71e0,0.69705
225d5cfd6e054236a8e565bf6157aa10,90b5dca9a62546888595ab0b984efa2a,0.94444
384a911fbde84709bf1a4f966785585f,e115575cbc804b439c01ae0827f32216,0.98196
1036c76ace2e42cbbfce18e00b317ca0,3bb0e71056104172ab85df184a6ee641,0.88388
9040f55e5d5b4ab386a733963c748fb5,e0609c498b484dbc833676b7a7014d38,0.93952
2fb7c413156f4dd78a319beb637428d4,e0609c498b484dbc833676b7a7014d38,0.86946
311d99a0ea8c44c6a0f7c422008fe2ba,ad25f496bf4c4943923e5ed8b0cb2b8c,0.97320
1d78b18d0574448da936ba93927b8ef0,ad25f496bf4c4943923e5ed8b0cb2b8c,0.97213
0d1fc18464b9458f8a7134ad7f3ccf23,c7550eb932444525a1cbd1a48ece776b,0.97030
4cb829c4ea5d4730b269502d2cefa38b,c7550eb932444525a1cbd1a48ece776b,0.91421
04d3303cb6ab45cb8d0ad6890ad3abe9,878b3f3edd924cd0935f652aad9bde83,0.96244
4a292ca38a6c49b6be0569cc356db2e7,878b3f3edd924cd0935f652aad9bde83,0.99158
91016d7490be400ebe25d52ebeefc98f,9b9d115f819e45e4b3f3d134b770f7aa,0.98583
c029e67ac7bf4694970b460bd248a95f,9b9d115f819e45e4b3f3d134b770f7aa,0.96907
1c9a2b8321c64e99b51945ccd1e39bf5,be745c00b7fd41329e7ebd754bfa0dfd,0.94748
5d888e60a2274c7cbe5b9d141c1d0340,be745c00b7fd41329e7ebd754bfa0dfd,0.82108
507ddc65267a418fb0901a34d8bd49c9,1d20073232454b9f9ae073de1ce3ed68,0.95156
bc7ad0595d084131991f885266aafd49,1d20073232454b9f9ae073de1ce3ed68,0.99123
0519040a63384f9a97d0e801065e5135,d82db0f42ca84098901d08a17a077690,0.97062
5224bba2511d489a99c1a9ff52e9dc88,d82db0f42ca84098901d08a17a077690,0.90350
100b0002537e40e7a4d9fcb5f82ddf33,e7d5d4e34d7449888ea47d040ab5e590,0.79537
806f482c346c449cab5ab4e8cb68514b,e7d5d4e34d7449888ea47d040ab5e590,0.72973
bdae1f58fa0843c1acd692b356f06d6b,29591c652f5d4a4fb5b371d3155f7ea3,0.97827
f658d66435164d1f880c508165bf7ad6,f581c1ab46c14f1693bb0dd1047314cd,0.97060
a91750a1b06d473c8b2c769e5dd6beca,378f8d121a5d4c27b12611c1d03a4df5,0.75798
ed29a8b379c6453384a5450338a8fbad,378f8d121a5d4c27b12611c1d03a4df5,0.72358
462e9cc51c4145f1993ddf8065102cba,9d0aeb588e2b4be3a9814170205f9304,0.90061
c88d1aab495048e1abc50b8a33da69b8,9d0aeb588e2b4be3a9814170205f9304,0.96230
4926e715ac374f4da7cdbba239286deb,7fb593151b0f481b8f07dda13b3127d1,0.88480
f94b488901a3453c9c04a232eab32ba8,5b3fe963c17b417ca472c1e13cfc3d34,0.83641
0aa148fd34cf4eff8e859ace3fe1e0d9,605118d5e3784b8c965abd8060a2c191,0.92045
3e09196b092d449c95ec9a74859d81e6,697c1cc2f1eb4885aafb19378901c6c5,0.84214
71c3e53927ae41f3953bf98f5463e00c,697c1cc2f1eb4885aafb19378901c6c5,0.96372
9dbbb8c8cc6742d9ad17a7edb766af15,fd4f8ff021ff419897e11ef81e1befa5,0.72987
