Benchmark does not match exact model/recipe hashes; excluded from current scorecard.
Local diagnostic card; no official total score or A5000 result is asserted.
блок                что меряется                                                           значение           баллы                           источник                              
------------------  ---------------------------------------------------------------------  -----------------  ------------------------------  --------------------------------------
Ранжирование        mAP@10 без постобработки                                               70.7               31.8 / 45 (допущение: линейно)  results\hack_ft_soup_b336_fit_val.json
Ранжирование        mAP@10 с постобработкой (k-recip 6/2, validation; перенос не измерен)  73.8               33.2 / 45 (допущение: линейно)  тот же файл, блок postprocess         
Ранжирование        — для сравнения: dba k=5 + k-recip 6/2 ЗАПРЕЩЕНО (ответ 38)            75.0               не идёт в балл                  тот же файл, блок postprocess         
Отказ               0.7*F1 + 0.3*TNR при пороге 0.55 (F1 96.8, TNR 95.5)                   96.4               диагностика, не балл релиза     results/refusal_stress.json           
Отказ               — то же без одно-камерных дубликатов (стресс)                          63.2               stress, не балл релиза          тот же файл                           
Отказ               mINP (справочно, в балл не входит)                                     69.3               —                               тот же файл                           
Производительность  нет замера                                                             —                  —                               results/bench_full.json               
Сдача               отказов на открытом тесте                                              69 из 1110 (6.2%)  —                               submission/run_info.json              
Сдача               размерность вектора                                                    1536               —                               submission/run_info.json              
Сдача               весь прогон, с                                                         98.5               —                               submission/run_info.json              
Перенос порога      сдвиг медианы уверенности релизной модели                              +0.0025            —                               results/threshold_transfer.json       
Перенос порога      решений перевернулось бы при выравнивании доли                         1 из 1110          —                               results/threshold_transfer.json       

Блоки: ранжирование 45%, отказ 10%, производительность 20%. Защита и продукт (25%) не здесь.
